"Position (m) Run #12","Magnetic Field Strength (100X) (T) Run #12"
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
0.0000,1.9E-5
3.7500E-5,1.9E-5
3.7500E-5,1.9E-5
3.7500E-5,1.9E-5
3.7500E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
7.5000E-5,1.9E-5
3.7500E-5,1.9E-5
3.7500E-5,1.9E-5
3.7500E-5,1.9E-5
3.7500E-5,1.9E-5
3.7500E-5,1.9E-5
3.7500E-5,1.9E-5
-4.1250E-4,1.9E-5
-0.0029,1.9E-5
-0.0077,1.9E-5
-0.0144,2.0E-5
-0.0229,2.1E-5
-0.0324,2.4E-5
-0.0424,2.7E-5
-0.0523,2.9E-5
-0.0633,3.1E-5
-0.0762,3.0E-5
-0.0898,2.6E-5
-0.1030,2.1E-5
-0.1151,1.6E-5
-0.1267,1.2E-5
-0.1379,9.5E-6
-0.1482,7.5E-6
-0.1570,6.2E-6
-0.1633,5.5E-6
-0.1675,5.0E-6
-0.1699,4.8E-6
-0.1709,4.7E-6
-0.1709,4.7E-6
-0.1705,4.8E-6
-0.1684,5.1E-6
-0.1639,5.7E-6
-0.1569,6.8E-6
-0.1472,8.6E-6
-0.1356,1.1E-5
-0.1227,1.5E-5
-0.1092,2.1E-5
-0.0952,2.6E-5
-0.0813,3.1E-5
-0.0673,3.1E-5
-0.0537,2.8E-5
-0.0405,2.4E-5
-0.0271,2.1E-5
-0.0137,1.9E-5
2.4286E-17,1.9E-5
0.0136,2.1E-5
0.0273,2.5E-5
0.0414,2.9E-5
0.0563,3.1E-5
0.0715,2.8E-5
0.0873,2.2E-5
0.1028,1.6E-5
0.1178,1.2E-5
0.1314,8.6E-6
0.1433,6.6E-6
0.1537,5.3E-6
0.1625,4.4E-6
0.1698,3.9E-6
0.1758,3.4E-6
0.1810,3.1E-6
0.1850,2.9E-6
0.1868,2.9E-6
0.1868,2.9E-6
0.1862,2.9E-6
0.1836,3.1E-6
0.1791,3.4E-6
0.1727,3.9E-6
0.1644,4.6E-6
0.1545,5.7E-6
0.1434,7.4E-6
0.1317,9.7E-6
0.1198,1.3E-5
0.1077,1.7E-5
0.0955,2.2E-5
0.0827,2.7E-5
0.0689,3.0E-5
0.0545,3.0E-5
0.0402,2.7E-5
0.0265,2.3E-5
0.0136,2.0E-5
0.0023,1.9E-5
-0.0065,1.9E-5
-0.0117,1.9E-5
-0.0131,1.9E-5
-0.0131,1.9E-5
-0.0131,1.9E-5
-0.0131,1.9E-5
-0.0131,1.9E-5
-0.0131,1.9E-5
-0.0130,1.9E-5
-0.0130,1.9E-5
-0.0130,1.9E-5
-0.0128,1.9E-5
-0.0124,1.9E-5
-0.0122,1.9E-5
-0.0120,1.9E-5
-0.0117,1.9E-5
-0.0112,1.9E-5
-0.0105,1.9E-5
-0.0099,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
-0.0097,1.9E-5
