"Position (m) Run #8","Magnetic Field Strength (100X) (T) Run #8"
0.0000,2.5E-5
0.0000,2.5E-5
0.0000,2.5E-5
0.0000,2.5E-5
0.0000,2.5E-5
0.0000,2.5E-5
0.0000,2.5E-5
0.0000,2.5E-5
3.7500E-5,2.5E-5
3.7500E-5,2.5E-5
3.7500E-5,2.5E-5
3.7500E-5,2.5E-5
3.7500E-5,2.5E-5
0.0000,2.5E-5
-3.0000E-4,2.5E-5
-0.0015,2.5E-5
-0.0033,2.5E-5
-0.0063,2.4E-5
-0.0109,2.3E-5
-0.0173,2.1E-5
-0.0247,1.8E-5
-0.0330,1.4E-5
-0.0421,1.1E-5
-0.0516,7.9E-6
-0.0615,5.3E-6
-0.0713,3.4E-6
-0.0807,1.9E-6
-0.0900,7.4E-7
-0.0994,-1.4E-7
-0.1083,-8.3E-7
-0.1169,-1.4E-6
-0.1258,-1.8E-6
-0.1348,-2.2E-6
-0.1433,-2.4E-6
-0.1511,-2.6E-6
-0.1572,-2.8E-6
-0.1612,-2.9E-6
-0.1638,-2.9E-6
-0.1659,-3.0E-6
-0.1678,-3.0E-6
-0.1686,-3.0E-6
-0.1685,-3.0E-6
-0.1679,-3.0E-6
-0.1657,-2.9E-6
-0.1618,-2.8E-6
-0.1567,-2.7E-6
-0.1508,-2.6E-6
-0.1441,-2.4E-6
-0.1370,-2.1E-6
-0.1293,-1.8E-6
-0.1211,-1.4E-6
-0.1125,-8.9E-7
-0.1037,-2.3E-7
-0.0947,6.4E-7
-0.0856,1.7E-6
-0.0770,3.1E-6
-0.0686,4.6E-6
-0.0608,6.5E-6
-0.0533,8.5E-6
-0.0463,1.1E-5
-0.0390,1.4E-5
-0.0309,1.7E-5
-0.0221,2.0E-5
-0.0131,2.3E-5
-0.0041,2.5E-5
0.0049,2.5E-5
0.0141,2.3E-5
0.0238,2.0E-5
0.0339,1.6E-5
0.0444,1.2E-5
0.0547,8.3E-6
0.0645,5.7E-6
0.0737,3.7E-6
0.0829,2.2E-6
0.0919,1.0E-6
0.1007,1.2E-7
0.1092,-5.8E-7
0.1176,-1.1E-6
0.1259,-1.6E-6
0.1337,-1.9E-6
0.1405,-2.2E-6
0.1467,-2.4E-6
0.1525,-2.6E-6
0.1578,-2.7E-6
0.1627,-2.8E-6
0.1676,-2.9E-6
0.1722,-3.0E-6
0.1761,-3.1E-6
0.1783,-3.1E-6
0.1785,-3.1E-6
0.1777,-3.1E-6
0.1741,-3.0E-6
0.1679,-2.9E-6
0.1597,-2.7E-6
0.1508,-2.4E-6
0.1420,-2.1E-6
0.1336,-1.8E-6
0.1258,-1.4E-6
0.1182,-9.5E-7
0.1101,-3.7E-7
0.1020,3.6E-7
0.0931,1.4E-6
0.0831,2.9E-6
0.0720,5.0E-6
0.0604,7.9E-6
0.0492,1.1E-5
0.0388,1.5E-5
0.0290,1.9E-5
0.0193,2.3E-5
0.0105,2.5E-5
0.0032,2.5E-5
-0.0012,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
-0.0021,2.5E-5
